unitid,university_name,level_of_study,headcount,year
183488,Eastwick College-Hackensack,Undergraduate,376,2018
183488,Eastwick College-Hackensack,Graduate,376,2018
183488,Eastwick College-Hackensack,Undergraduate,442,2019
183488,Eastwick College-Hackensack,Graduate,442,2019
183488,Eastwick College-Hackensack,Undergraduate,786,2020
183488,Eastwick College-Hackensack,Graduate,786,2020
183488,Eastwick College-Hackensack,Undergraduate,942,2021
183488,Eastwick College-Hackensack,Graduate,942,2021
183488,Eastwick College-Hackensack,Undergraduate,873,2022
183488,Eastwick College-Hackensack,Graduate,873,2022
183488,Eastwick College-Hackensack,Undergraduate,1083,2023
183488,Eastwick College-Hackensack,Graduate,1083,2023
183600,Assumption College for Sisters,Undergraduate,53,2018
183600,Assumption College for Sisters,Graduate,53,2018
183600,Assumption College for Sisters,Undergraduate,55,2019
183600,Assumption College for Sisters,Graduate,55,2019
183600,Assumption College for Sisters,Undergraduate,61,2020
183600,Assumption College for Sisters,Graduate,61,2020
183600,Assumption College for Sisters,Undergraduate,52,2021
183600,Assumption College for Sisters,Graduate,52,2021
183600,Assumption College for Sisters,Undergraduate,36,2022
183600,Assumption College for Sisters,Graduate,36,2022
183600,Assumption College for Sisters,Undergraduate,39,2023
183600,Assumption College for Sisters,Graduate,39,2023
183655,Atlantic Cape Community College,Undergraduate,4973,2018
183655,Atlantic Cape Community College,Graduate,4973,2018
183655,Atlantic Cape Community College,Undergraduate,5048,2019
183655,Atlantic Cape Community College,Graduate,5048,2019
183655,Atlantic Cape Community College,Undergraduate,6948,2020
183655,Atlantic Cape Community College,Graduate,6948,2020
183655,Atlantic Cape Community College,Undergraduate,6166,2021
183655,Atlantic Cape Community College,Graduate,6166,2021
183655,Atlantic Cape Community College,Undergraduate,6313,2022
183655,Atlantic Cape Community College,Graduate,6313,2022
183655,Atlantic Cape Community College,Undergraduate,6324,2023
183655,Atlantic Cape Community College,Graduate,6324,2023
183725,Fortis Institute-Wayne,Undergraduate,539,2018
183725,Fortis Institute-Wayne,Graduate,539,2018
183725,Fortis Institute-Wayne,Undergraduate,554,2019
183725,Fortis Institute-Wayne,Graduate,554,2019
183725,Fortis Institute-Wayne,Undergraduate,772,2020
183725,Fortis Institute-Wayne,Graduate,772,2020
183725,Fortis Institute-Wayne,Undergraduate,831,2021
183725,Fortis Institute-Wayne,Graduate,831,2021
183725,Fortis Institute-Wayne,Undergraduate,669,2022
183725,Fortis Institute-Wayne,Graduate,669,2022
183725,Fortis Institute-Wayne,Undergraduate,580,2023
183725,Fortis Institute-Wayne,Graduate,580,2023
183743,Bergen Community College,Undergraduate,13352,2018
183743,Bergen Community College,Graduate,13352,2018
183743,Bergen Community College,Undergraduate,12968,2019
183743,Bergen Community College,Graduate,12968,2019
183743,Bergen Community College,Undergraduate,17685,2020
183743,Bergen Community College,Graduate,17685,2020
183743,Bergen Community College,Undergraduate,15928,2021
183743,Bergen Community College,Graduate,15928,2021
183743,Bergen Community College,Undergraduate,15447,2022
183743,Bergen Community College,Graduate,15447,2022
183743,Bergen Community College,Undergraduate,15858,2023
183743,Bergen Community College,Graduate,15858,2023
183789,Berkeley College-Woodland Park,Undergraduate,3468,2018
183789,Berkeley College-Woodland Park,Graduate,3324,2018
183789,Berkeley College-Woodland Park,Undergraduate,2858,2019
183789,Berkeley College-Woodland Park,Graduate,2682,2019
183789,Berkeley College-Woodland Park,Undergraduate,4228,2020
183789,Berkeley College-Woodland Park,Graduate,3987,2020
183789,Berkeley College-Woodland Park,Undergraduate,4098,2021
183789,Berkeley College-Woodland Park,Graduate,3838,2021
183789,Berkeley College-Woodland Park,Undergraduate,3532,2022
183789,Berkeley College-Woodland Park,Graduate,3281,2022
183789,Berkeley College-Woodland Park,Undergraduate,2852,2023
183789,Berkeley College-Woodland Park,Graduate,2696,2023
183804,Beth Medrash Govoha,Undergraduate,6655,2018
183804,Beth Medrash Govoha,Graduate,2680,2018
183804,Beth Medrash Govoha,Undergraduate,6772,2019
183804,Beth Medrash Govoha,Graduate,2726,2019
183804,Beth Medrash Govoha,Undergraduate,7800,2020
183804,Beth Medrash Govoha,Graduate,3613,2020
183804,Beth Medrash Govoha,Undergraduate,8283,2021
183804,Beth Medrash Govoha,Graduate,3875,2021
183804,Beth Medrash Govoha,Undergraduate,8745,2022
183804,Beth Medrash Govoha,Graduate,4135,2022
183804,Beth Medrash Govoha,Undergraduate,9305,2023
183804,Beth Medrash Govoha,Graduate,4426,2023
183822,Bloomfield College,Undergraduate,1685,2018
183822,Bloomfield College,Graduate,1662,2018
183822,Bloomfield College,Undergraduate,1628,2019
183822,Bloomfield College,Graduate,1612,2019
183822,Bloomfield College,Undergraduate,1737,2020
183822,Bloomfield College,Graduate,1721,2020
183822,Bloomfield College,Undergraduate,1630,2021
183822,Bloomfield College,Graduate,1630,2021
183822,Bloomfield College,Undergraduate,1391,2022
183822,Bloomfield College,Graduate,1390,2022
183822,Bloomfield College,Undergraduate,1226,2023
183822,Bloomfield College,Graduate,1225,2023
183859,Brookdale Community College,Undergraduate,11856,2018
183859,Brookdale Community College,Graduate,11856,2018
183859,Brookdale Community College,Undergraduate,11489,2019
183859,Brookdale Community College,Graduate,11489,2019
183859,Brookdale Community College,Undergraduate,16439,2020
183859,Brookdale Community College,Graduate,16439,2020
183859,Brookdale Community College,Undergraduate,14796,2021
183859,Brookdale Community College,Graduate,14796,2021
183859,Brookdale Community College,Undergraduate,13920,2022
183859,Brookdale Community College,Graduate,13920,2022
183859,Brookdale Community College,Undergraduate,14610,2023
183859,Brookdale Community College,Graduate,14610,2023
183877,Rowan College at Burlington County,Undergraduate,8890,2018
183877,Rowan College at Burlington County,Graduate,8890,2018
183877,Rowan College at Burlington County,Undergraduate,8439,2019
183877,Rowan College at Burlington County,Graduate,8439,2019
183877,Rowan College at Burlington County,Undergraduate,13715,2020
183877,Rowan College at Burlington County,Graduate,13715,2020
183877,Rowan College at Burlington County,Undergraduate,12098,2021
183877,Rowan College at Burlington County,Graduate,12098,2021
183877,Rowan College at Burlington County,Undergraduate,11033,2022
183877,Rowan College at Burlington County,Graduate,11033,2022
183877,Rowan College at Burlington County,Undergraduate,11117,2023
183877,Rowan College at Burlington County,Graduate,11117,2023
183910,Caldwell University,Undergraduate,2189,2018
183910,Caldwell University,Graduate,1651,2018
183910,Caldwell University,Undergraduate,2206,2019
183910,Caldwell University,Graduate,1709,2019
183910,Caldwell University,Undergraduate,2435,2020
183910,Caldwell University,Graduate,1781,2020
183910,Caldwell University,Undergraduate,2491,2021
183910,Caldwell University,Graduate,1830,2021
183910,Caldwell University,Undergraduate,2309,2022
183910,Caldwell University,Graduate,1741,2022
183910,Caldwell University,Undergraduate,2160,2023
183910,Caldwell University,Graduate,1674,2023
183938,Camden County College,Undergraduate,9675,2018
183938,Camden County College,Graduate,9675,2018
183938,Camden County College,Undergraduate,9735,2019
183938,Camden County College,Graduate,9735,2019
183938,Camden County College,Undergraduate,16904,2020
183938,Camden County College,Graduate,16904,2020
183938,Camden County College,Undergraduate,15991,2021
183938,Camden County College,Graduate,15991,2021
183938,Camden County College,Undergraduate,15728,2022
183938,Camden County College,Graduate,15728,2022
183938,Camden County College,Undergraduate,15437,2023
183938,Camden County College,Graduate,15437,2023
183974,Centenary University,Undergraduate,1802,2018
183974,Centenary University,Graduate,1266,2018
183974,Centenary University,Undergraduate,1681,2019
183974,Centenary University,Graduate,1193,2019
183974,Centenary University,Undergraduate,2062,2020
183974,Centenary University,Graduate,1362,2020
183974,Centenary University,Undergraduate,1940,2021
183974,Centenary University,Graduate,1372,2021
183974,Centenary University,Undergraduate,1755,2022
183974,Centenary University,Graduate,1221,2022
183974,Centenary University,Undergraduate,1686,2023
183974,Centenary University,Graduate,1093,2023
183983,Adult and Continuing Education-BCTS,Undergraduate,70,2018
183983,Adult and Continuing Education-BCTS,Graduate,70,2018
183983,Adult and Continuing Education-BCTS,Undergraduate,92,2019
183983,Adult and Continuing Education-BCTS,Graduate,92,2019
183983,Adult and Continuing Education-BCTS,Undergraduate,215,2020
183983,Adult and Continuing Education-BCTS,Graduate,215,2020
183983,Adult and Continuing Education-BCTS,Undergraduate,186,2021
183983,Adult and Continuing Education-BCTS,Graduate,186,2021
183983,Adult and Continuing Education-BCTS,Undergraduate,206,2022
183983,Adult and Continuing Education-BCTS,Graduate,206,2022
183983,Adult and Continuing Education-BCTS,Undergraduate,195,2023
183983,Adult and Continuing Education-BCTS,Graduate,195,2023
184047,Branford Hall Career Institute-Parsippany,Undergraduate,14,2018
184047,Branford Hall Career Institute-Parsippany,Graduate,14,2018
184047,Branford Hall Career Institute-Parsippany,Undergraduate,36,2019
184047,Branford Hall Career Institute-Parsippany,Graduate,36,2019
184056,Lincoln Technical Institute-Iselin,Undergraduate,459,2018
